source_sheet,gubun,product_id,mes_item_cd,product_name,discount_table_name
문구(가격포함),플래너,14592,008-0020,만년다이어리(소프트커버),문구 구간할인
문구(가격포함),플래너,,008-0002,먼슬리플래너,문구 구간할인
문구(가격포함),노트,,008-0004,스프링노트,문구 구간할인
문구(가격포함),노트,,008-0005,스프링수첩,문구 구간할인
문구(가격포함),노트,,008-0006,메모패드,문구 구간할인
문구(가격포함),노트,,008-0007,중철노트,문구 구간할인
굿즈파우치(가격포함),소품,14637,,틴거울,굿즈상품 B타입
굿즈파우치(가격포함),소품,14638,,컴팩트거울,굿즈상품 B타입
굿즈파우치(가격포함),소품,14639,,카드거울,굿즈상품 B타입
굿즈파우치(가격포함),소품,14640,,사각손거울,굿즈상품 A타입
굿즈파우치(가격포함),소품,14641,,블랙사각손거울,굿즈상품 A타입
굿즈파우치(가격포함),라이프,14643,,레더코스터,굿즈상품 A타입
굿즈파우치(가격포함),라이프,14644,,코르크코스터,굿즈상품 A타입
굿즈파우치(가격포함),라이프,14645,,우드코스터,굿즈상품 A타입
굿즈파우치(가격포함),라이프,14774,,린넨패브릭코스터,굿즈상품 A타입
굿즈파우치(가격포함),라이프,14646,,규조토코스터,굿즈상품 A타입
굿즈파우치(가격포함),라이프,14642,,머그컵,굿즈상품 B타입
굿즈파우치(가격포함),라이프,14647,,워터북보틀,굿즈상품 A타입
굿즈파우치(가격포함),라이프,14649,,벨벳쿠션,굿즈상품 A타입
굿즈파우치(가격포함),여행/아웃도어,14651,,레더여권케이스,굿즈상품 A타입
굿즈파우치(가격포함),여행/아웃도어,14653,,미니매트,굿즈상품 A타입
굿즈파우치(가격포함),여행/아웃도어,14654,,피크닉매트,굿즈상품 A타입
굿즈파우치(가격포함),기념품/액세서리,14655,,핀버튼,굿즈상품 B타입
굿즈파우치(가격포함),기념품/액세서리,14656,,레더스트랩키링,굿즈상품 A타입
굿즈파우치(가격포함),패션,14660,,양말,굿즈상품 B타입
굿즈파우치(가격포함),패션,14661,,반팔티셔츠,굿즈상품 B타입
굿즈파우치(가격포함),패션,14662,,후드티셔츠,굿즈상품 B타입
굿즈파우치(가격포함),데스크/사무용품,14622,,초슬림마우스패드,굿즈상품 B타입
굿즈파우치(가격포함),데스크/사무용품,14648,,극세사클리너,굿즈상품 B타입
굿즈파우치(가격포함),데스크/사무용품,14623,,틴케이스,굿즈상품 B타입
굿즈파우치(가격포함),디지털악세서리,14666,,밴드톡,굿즈상품 A타입
굿즈파우치(가격포함),디지털악세서리,14667,,폰스트랩,굿즈상품 A타입
굿즈파우치(가격포함),말랑(PVC고주파),22522,,말랑키링,구간할인(말랑상품)
굿즈파우치(가격포함),말랑(PVC고주파),,,말랑증사홀더,구간할인(말랑상품)
굿즈파우치(가격포함),말랑(PVC고주파),22607,,말랑포카홀더,구간할인(말랑상품)
굿즈파우치(가격포함),말랑(PVC고주파),22614,,말랑네임택,구간할인(말랑상품)
굿즈파우치(가격포함),말랑(PVC고주파),22621,,말랑여권케이스,구간할인(말랑상품)
굿즈파우치(가격포함),레더파우치,14671,,레더 플랫 파우치,구간할인(파우치/에코백)
