sheet,sheet_label,prd_nm,norm,first_row
digital-print,디지털인쇄,프리미엄 쿠폰/상품권,프리미엄쿠폰상품권,163
booklet,책자,링바인더 (보류중),링바인더보류중,51
booklet,책자,https://www.redprinting.co.kr/ko/guide2/view/4/116,https:wwwredprintingcokrkoguide2view4116,85
photobook,포토북,포토북 [디자인명],포토북[디자인명],3
silsa,실사,투명포스터★,투명포스터★,18
silsa,실사,프레임리스우드액자,프레임리스우드액자,75
silsa,실사,미니보드스탠딩,미니보드스탠딩,138
stationery,문구,"노랑색배경은 신규상품으로 MES에도 없어 등록해야하는 상품입니다
그레이배경의 상품은 품절이거나 준비중인 상품입니다.
그레이칼라의 글씨는 사용자에는 보여지지 않은(파일사양의 구분을 위한) 글씨입니다
*오렌지글씨는 저만의 commemt이니 개발시 무시해주세요
제목부분 (필수/빨강)는 모든 상품에 반드시 설정해야하는 부분 (옵션/오렌지)은 상품에 따라 있을수도 없을 수도 있습니다
모든 항목은 Figma를 참고해주세요",노랑색배경은신규상품으로MES에도없어등록해야하는상품입니다그레이배경의상품은품절이거나준비중인상품입니다그레이칼라의글씨는사용자에는보여지지않은파일사양의구분을위한글씨입니다*오렌지글씨는저만의commemt이니개발시무시해주세요제목부분필수빨강는모든상품에반드시설정해야하는부분옵션오렌지은상품에따라있을수도없을수도있습니다모든항목은Figma를참고해주세요,29
goods-pouch,굿즈파우치,린넨패브릭코스터,린넨패브릭코스터,17
goods-pouch,굿즈파우치,레더여권케이스,레더여권케이스,27
goods-pouch,굿즈파우치,타이벡북커버,타이벡북커버,88
goods-pouch,굿즈파우치,슬림하드 폰케이스,슬림하드폰케이스,238
goods-pouch,굿즈파우치,블랙젤리,블랙젤리,278
goods-pouch,굿즈파우치,임팩트 젤하드,임팩트젤하드,309
goods-pouch,굿즈파우치,에어팟케이스★,에어팟케이스★,334
goods-pouch,굿즈파우치,버즈케이스★,버즈케이스★,339
product-accessory,상품악세사리,천정고리,천정고리,48
product-accessory,상품악세사리,행택끈,행택끈,52
