table_name	ordinal_position	column_name
auth_group	1	id
auth_group_permissions	1	id
auth_permission	1	id
auth_user	1	id
auth_user_groups	1	id
auth_user_user_permissions	1	id
django_admin_log	1	id
django_content_type	1	id
django_migrations	1	id
django_session	1	session_key
t_cat_categories	1	cat_cd
t_clr_color_counts	1	clr_cd
t_cod_base_codes	1	cod_cd
t_cus_customers	1	cus_cd
t_dsc_discount_details	1	dsc_tbl_cd
t_dsc_discount_details	2	apply_ymd
t_dsc_discount_details	3	min_qty
t_dsc_discount_tables	1	dsc_tbl_cd
t_dsc_grade_discount_rates	1	grade_cd
t_dsc_grade_discount_rates	2	cat_cd
t_dsc_grade_discount_rates	3	apply_ymd
t_mat_materials	1	mat_cd
t_prc_component_prices	1	comp_price_id
t_prc_formula_components	1	frm_cd
t_prc_formula_components	2	comp_cd
t_prc_price_components	1	comp_cd
t_prc_price_formulas	1	frm_cd
t_prd_product_addons	1	prd_cd
t_prd_product_addons	2	tmpl_cd
t_prd_product_bundle_qtys	1	prd_cd
t_prd_product_bundle_qtys	2	bdl_qty
t_prd_product_categories	1	prd_cd
t_prd_product_categories	2	cat_cd
t_prd_product_constraints	1	prd_cd
t_prd_product_constraints	2	rule_cd
t_prd_product_discount_tables	1	prd_cd
t_prd_product_discount_tables	2	dsc_tbl_cd
t_prd_product_discount_tables	3	apply_bgn_ymd
t_prd_product_materials	1	prd_cd
t_prd_product_materials	2	mat_cd
t_prd_product_materials	3	usage_cd
t_prd_product_option_groups	1	prd_cd
t_prd_product_option_groups	2	opt_grp_cd
t_prd_product_option_items	1	prd_cd
t_prd_product_option_items	2	opt_cd
t_prd_product_option_items	3	item_seq
t_prd_product_options	1	prd_cd
t_prd_product_options	2	opt_cd
t_prd_product_page_rules	1	prd_cd
t_prd_product_plate_sizes	1	prd_cd
t_prd_product_plate_sizes	2	siz_cd
t_prd_product_price_formulas	1	prd_cd
t_prd_product_price_formulas	2	frm_cd
t_prd_product_prices	1	prd_cd
t_prd_product_prices	2	apply_ymd
t_prd_product_print_options	1	prd_cd
t_prd_product_print_options	2	opt_id
t_prd_product_processes	1	prd_cd
t_prd_product_processes	2	proc_cd
t_prd_product_sets	1	prd_cd
t_prd_product_sets	2	sub_prd_cd
t_prd_product_sizes	1	prd_cd
t_prd_product_sizes	2	siz_cd
t_prd_products	1	prd_cd
t_prd_template_selections	1	tmpl_cd
t_prd_template_selections	2	sel_seq
t_prd_templates	1	tmpl_cd
t_proc_processes	1	proc_cd
t_siz_sizes	1	siz_cd
(69 rows)
