id,axis,product_or_formula,authority_value,live_value,defect_type,severity,root_cause,fix_route,evidence
C3-D01,1-price,FOMEXBOARD/COMP_POSTER_FOMEXBOARD_WHITE3MM A3(SIZ_000315),8500(가격표 권위),8500,REFUTED,LOW,"codex 재확인 REFUTED: 라이브 8500 = 가격표 price-poster-sign B196 A3=8500 verbatim 일치=정합. 검증가가 본 8300은 상품마스터 silsa-l1 행(권위 충돌). 실사 단가 권위=가격표 포스터사인이므로 라이브 정합·과대청구 아님",없음(정합)·별도 권위충돌 CONFIRM,"price-poster-sign B196 화이트포맥스(3mm) A3=8500 = 라이브 8500 / 상품마스터 silsa-l1 포맥스보드 A3=8300(권위충돌)"
C3-D02,1-price,FOMEXBOARD/COMP_POSTER_FOMEXBOARD_WHITE3MM A2(SIZ_000317),13000(가격표 권위),13000,REFUTED,LOW,"codex 재확인 REFUTED: 라이브 13000 = 가격표 price-poster-sign B196 A2=13000 verbatim 일치=정합. 검증가가 본 11500은 상품마스터 silsa-l1 행(권위 충돌). 라이브 정합·과대청구 아님",없음(정합)·별도 권위충돌 CONFIRM,"price-poster-sign B196 화이트포맥스(3mm) A2=13000 = 라이브 13000 / 상품마스터 silsa-l1 포맥스보드 A2=11500(권위충돌)"
C3-CFM-01,1-price,FOMEXBOARD 권위충돌(가격표 vs 상품마스터),가격표8500/13000 vs 마스터8300/11500,라이브=가격표,CONFIRM,MED,"두 권위 엑셀이 포맥스 단가 불일치(A3 8500 vs 8300·A2 13000 vs 11500). 라이브는 가격표 채택. 실무진: 포맥스 단가 정본 엑셀 확인 필요",실무진 확인(가격표가 정본이면 무변경),"price-poster-sign B196 vs silsa-l1 포맥스보드 행"
C3-D03,1-price,BANNER_NORMAL/COMP_POSTER_BANNER_NORMAL 1750mm 세로밴드,세로=900/1000/1200/1500(권위 4밴드),세로=...+1750(5밴드 16행 잉여),EXTRA,HIGH,"권위 B26 일반현수막 세로 4밴드(900/1000/1200/1500)뿐인데 라이브에 1750mm 밴드 16행 추가 적재(권위 미존재 단가·견적 시 잘못된 구간 선택 위험)",dbmap 1750 밴드 16행 삭제 또는 권위 재확인,"price-poster-sign B26 widths=[900,1000,1200,1500] / live COMP_POSTER_BANNER_NORMAL siz_height=1750 16행 존재"
C3-D04,1-price,FOMEXBOARD A1(SIZ_000294=A1),20000,(부재),MISSING,MED,권위 포맥스보드 A1=20000원 단가행 미적재(A1 사이즈 견적 불가),dbmap A1 단가행 추가,"silsa-l1 포맥스보드 A1(594x841) price=20000.0 / live comp 행에 SIZ_000294 없음(FOAMBOARD엔 있음)"
C3-D05,1-price,FRAMELESS/COMP_POSTER_FRAMELESS_WOOD A1(SIZ_000317->A1),35000,(부재),MISSING,MED,포스터사인 B12 프레임리스우드액자 A1=35000 미적재(A1 견적 불가),dbmap A1 단가행 추가,"price-poster-sign B13 사이즈/수량 A1=35000 / live COMP_POSTER_FRAMELESS_WOOD A3=16000,A2=23000만(A1 없음)"
C3-D06,1-price,LEATHER_FRAME/COMP_POSTER_LEATHER_FRAME 소형4사이즈,5x5=9000;5x7=10000;8x8=11000;8x10=13000,(부재 4사이즈),MISSING,MED,포스터사인 B14 레더아트액자 6사이즈 중 소형 4사이즈 미적재(A4/A3만 적재),dbmap 소형 4사이즈 단가행 추가,"price-poster-sign B15 5x5/5x7/8x8/8x10/A4/A3=9000/10000/11000/13000/16000/21000 / live LEATHER_FRAME SIZ_000258(A4)=16000,SIZ_000315(A3)=21000만"
C3-D07,1-price,JOKJA/COMP_POSTER_JOKJA A1(SIZ A1),22000,(부재),MISSING,MED,포스터사인 B16 족자포스터 A1=22000 미적재(A3/A2/300x600/900x1200만 적재),dbmap A1 단가행 추가,"price-poster-sign B17 A3/A2/A1/300*600/900*1200=13000/15000/22000/15000/32000 / live JOKJA 4행(A1 누락)"
C3-D08,1-price,BANNER_M/COMP_POSTER_BANNER_MESH 세로900 2셀,가로1200x세로900;가로5000x세로900,(부재 2셀),MISSING,MED,권위 B27 메쉬현수막 48셀 중 2셀 미적재(라이브 46행),dbmap 2셀 추가,"price-poster-sign B27 cells=48 / live COMP_POSTER_BANNER_MESH=46(missing 가로1200/5000 x 세로900)"
C3-D09,1-price,BANNER_N/COMP_POSTER_BANNER_NORMAL 가로5000x세로900,36000,(부재),MISSING,MED,권위 B26 64셀 중 5000x900 1셀 미적재,dbmap 1셀 추가,"price-poster-sign B26 가로5000 세로900=36000 / live BANNER_NORMAL 해당셀 부재"
C3-D10,3-bind,POSTER_FIXED,완제품가 조회 fallback 공식(소재무관),0 바인딩 use_yn=Y,UNBOUND,LOW,소재별 PRF_POSTER_<MATERIAL> 28공식이 대체구현하여 POSTER_FIXED는 미사용 스캐폴드(결함 아님·정리대상),dbmap use_yn=N 논리비활성 또는 유지,"t_prc_price_formulas PRF_POSTER_FIXED note=포스터사인 완제품가 fallback / 바인딩 0건"
