root_mat_cd,root_nm,root_typ,root_del,child_count,children,integrity_flag
MAT_000012,링,MAT_TYPE.04,N,5,링 블랙 | 링 메탈링 | 링 블랙링 | 링 실버링 | 링 화이트링,OK
MAT_000021,캘린더링,MAT_TYPE.04,N,2,캘린더링 블랙 | 캘린더링 화이트,OK
MAT_000031,캘린더부자재,MAT_TYPE.07,N,3,캘린더부자재 끈 | 캘린더부자재 삼각대블랙 | 삼각대(그레이),OK
MAT_000293,틴케이스,MAT_TYPE.12,N,1,미니틴케이스,OK
MAT_000269,워터북보틀,MAT_TYPE.12,N,2,워터북보틀 350ml | 워터북보틀 500ml,OK
MAT_000122,띤또,MAT_TYPE.01,Y,2,띤또레또 200g | 띤또레또 250g,ORPHAN_DEAD_ROOT(삭제된 상위자재·활성자식 고아)
MAT_000075,아트,MAT_TYPE.01,Y,8,아트지 100g | 아트지 120g | 아트지 150g | 아트지 150g (3절) | 아트지 180g | 아트지 200g | 아트지 250g | 아트지 300g,ORPHAN_DEAD_ROOT(삭제된 상위자재·활성자식 고아)
MAT_000143,투명,MAT_TYPE.01,Y,2,투명 PET 260g | 투명 PET 350g,ORPHAN_DEAD_ROOT(삭제된 상위자재·활성자식 고아)
MAT_000100,랑데뷰,MAT_TYPE.01,Y,2,랑데뷰 WH 240g | 랑데뷰 WH 310g,ORPHAN_DEAD_ROOT(삭제된 상위자재·활성자식 고아)
MAT_000103,몽블랑,MAT_TYPE.01,Y,9,몽블랑 100g | 몽블랑 130g | 몽블랑 130g (3절) | 몽블랑 160g | 몽블랑 190g | 몽블랑 190g (3절) | 몽블랑 210g | 몽블랑 240g | 몽블랑 240g (3절),ORPHAN_DEAD_ROOT(삭제된 상위자재·활성자식 고아)
MAT_000146,반투명,MAT_TYPE.01,Y,2,반투명 PET 260g | 반투명 PET 350g,ORPHAN_DEAD_ROOT(삭제된 상위자재·활성자식 고아)
MAT_000071,백모조,MAT_TYPE.01,Y,3,백색모조지 100g | 백색모조지 120g | 백색모조지 220g,ORPHAN_DEAD_ROOT(삭제된 상위자재·활성자식 고아)
MAT_000085,스노우,MAT_TYPE.01,Y,8,스노우지 100g | 스노우지 120g | 스노우지 150g | 스노우지 180g | 스노우지 200g | 스노우지 250g | 스노우지 250g (3절) | 스노우지 300g,ORPHAN_DEAD_ROOT(삭제된 상위자재·활성자식 고아)
MAT_000094,앙상블,MAT_TYPE.01,Y,5,앙상블 100g | 앙상블 130g | 앙상블 160g | 앙상블 190g | 앙상블 210g,ORPHAN_DEAD_ROOT(삭제된 상위자재·활성자식 고아)
MAT_000009,투명커버,MAT_TYPE.02,Y,2,투명커버 무광 | 투명커버 유광,ORPHAN_DEAD_ROOT(삭제된 상위자재·활성자식 고아)
MAT_000036,아크릴,MAT_TYPE.03,Y,3,아크릴 투명 1.5mm | 아크릴 투명 3mm | 아크릴 투명 8mm,ORPHAN_DEAD_ROOT(삭제된 상위자재·활성자식 고아)
MAT_000017,D링,MAT_TYPE.04,Y,5,D링 31mm | D링 42mm | D링 56mm | D링 D링(31mm) | D링 D링(42mm),ORPHAN_DEAD_ROOT(삭제된 상위자재·활성자식 고아)
MAT_000045,아크릴부자재,MAT_TYPE.07,Y,13,원형핀 | 일자핀 | 투명집게 | 블랙헤어끈 | 아크릴키링 금색고리 | 아크릴키링 은색고리 | 네오디움 자석 | 맥세이프 스마트톡 | 스마트톡 투명바디 | 스마트톡 화이트바디 | 투명집게(자석형) | 1구자석 | 2구자석,ORPHAN_DEAD_ROOT(삭제된 상위자재·활성자식 고아)
(NO_ROOT),팬시크라프트 120g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),한지 170g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),린넨커버 216g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),스코트랜드 220g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),매쉬멜로우 233g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),스타화이트(하이테크) 238g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),리사이클러스 240g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),스타드림(다이아몬드) 240g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),스타드림(로즈쿼츠) 240g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),스타드림(로츠쿼츠) 240g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),스타드림(다이아) 240g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),스타드림(골드) 240g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),스타드림(실버) 240g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),뉴크라프트 250g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),매직터치(백색) 250g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),아코팩(웜화이트) 250g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),켄도 250g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),유니크라프트 260g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),큐리어스스킨 다크블루 270g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),큐리어스스킨 바이올렛 270g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),큐리어스스킨 화이트 270g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),큐리어스스킨 레드 270g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),큐리어스스킨 블랙 270g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),클래식 크래스트 스티플 270g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),아이보리 300g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),인바이런먼트 아이론 352g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),마테리카 클레이 360g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),뉴에코블랙 400g,MAT_TYPE.01,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),리무벌아트지 90g,MAT_TYPE.11,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),레자크줄무늬백색 110g,MAT_TYPE.14,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
(NO_ROOT),레자크체크백색 110g,MAT_TYPE.14,N,0,(자기 자신이 평량변형인데 상위자재 없음),ORPHAN_NO_ROOT(평량변형·상위자재 NULL)
